"measure","scenario","period","climset","strategy","value","value_hist"
"Copco1 Mean Spill Days per Year","WD",2030,"CMIP3","Reduce ET 30%",44.3333,42.8
"Copco1 Mean Spill Days per Year","WD",2030,"CMIP3","Reduce ET 50%",44.5333,42.8
"Copco1 Mean Spill Days per Year","WD",2030,"CMIP5","Add 30KAF",44.1,42.8
"Copco1 Mean Spill Days per Year","WD",2030,"CMIP5","Baseline",42.6333,42.8
"Copco1 Mean Spill Days per Year","WD",2030,"CMIP5","Reduce ET 30%",43.1,42.8
"Copco1 Mean Spill Days per Year","WD",2030,"CMIP5","Reduce ET 50%",43.3,42.8
"Copco1 Mean Spill Days per Year","WW",2030,"CMIP3","Add 30KAF",58.9,42.8
"Copco1 Mean Spill Days per Year","WW",2030,"CMIP3","Baseline",57.3,42.8
"Copco1 Mean Spill Days per Year","WW",2030,"CMIP3","Reduce ET 30%",57.5,42.8
"Copco1 Mean Spill Days per Year","WW",2030,"CMIP3","Reduce ET 50%",57.6333,42.8
"Copco1 Mean Spill Days per Year","WW",2030,"CMIP5","Add 30KAF",57.7333,42.8
"Copco1 Mean Spill Days per Year","WW",2030,"CMIP5","Baseline",55.5333,42.8
"Copco1 Mean Spill Days per Year","WW",2030,"CMIP5","Reduce ET 30%",55.5333,42.8
"Copco1 Mean Spill Days per Year","WW",2030,"CMIP5","Reduce ET 50%",55.8667,42.8
"Copco1 Mean Spill Days per Year","HD",2030,"CMIP3","Add 30KAF",40.5667,42.8
"Copco1 Mean Spill Days per Year","HD",2030,"CMIP3","Baseline",38.8333,42.8
"Copco1 Mean Spill Days per Year","HD",2030,"CMIP3","Reduce ET 30%",39.3667,42.8
"Copco1 Mean Spill Days per Year","HD",2030,"CMIP3","Reduce ET 50%",39.5333,42.8
"Copco1 Mean Spill Days per Year","HD",2030,"CMIP5","Add 30KAF",38.2333,42.8
"Copco1 Mean Spill Days per Year","HD",2030,"CMIP5","Baseline",37.1,42.8
"Copco1 Mean Spill Days per Year","HD",2030,"CMIP5","Reduce ET 30%",37.2667,42.8
"Copco1 Mean Spill Days per Year","HD",2030,"CMIP5","Reduce ET 50%",37.5667,42.8
"Copco1 Mean Spill Days per Year","HW",2030,"CMIP3","Add 30KAF",61.2667,42.8
"Copco1 Mean Spill Days per Year","HW",2030,"CMIP3","Baseline",59.2,42.8
"Copco1 Mean Spill Days per Year","HW",2030,"CMIP3","Reduce ET 30%",59.6333,42.8
"Copco1 Mean Spill Days per Year","HW",2030,"CMIP3","Reduce ET 50%",59.7,42.8
"Copco1 Mean Spill Days per Year","HW",2030,"CMIP5","Add 30KAF",59.1,42.8
"Copco1 Mean Spill Days per Year","HW",2030,"CMIP5","Baseline",57.2667,42.8
"Copco1 Mean Spill Days per Year","HW",2030,"CMIP5","Reduce ET 30%",57.7333,42.8
"Copco1 Mean Spill Days per Year","HW",2030,"CMIP5","Reduce ET 50%",57.9333,42.8
"Copco1 Mean Spill Days per Year","CT",2030,"CMIP3","Add 30KAF",51.5667,42.8
"Copco1 Mean Spill Days per Year","CT",2030,"CMIP3","Baseline",49.6667,42.8
"Copco1 Mean Spill Days per Year","CT",2030,"CMIP3","Reduce ET 30%",49.9333,42.8
"Copco1 Mean Spill Days per Year","CT",2030,"CMIP3","Reduce ET 50%",50.1667,42.8
"Copco1 Mean Spill Days per Year","CT",2030,"CMIP5","Add 30KAF",53.5667,42.8
"Copco1 Mean Spill Days per Year","CT",2030,"CMIP5","Baseline",51.7,42.8
