"measure","scenario","period","climset","strategy","value_hist","pctchange","colournm"
"KenoReach Mean Ann Fishing Days","4",2030,"CMIP5","Add 30KAF",247.6667,6.05652677570299,"3"
"KenoReach Mean Ann Fishing Days","5",2030,"CMIP3","Baseline",247.6667,1.68234163090961,"3"
"KenoReach Mean Ann Fishing Days","5",2030,"CMIP3","Reduce ET 30%",247.6667,1.39970371471013,"3"
"KenoReach Mean Ann Fishing Days","5",2030,"CMIP3","Reduce ET 50%",247.6667,1.14399715423996,"3"
"KenoReach Mean Ann Fishing Days","5",2030,"CMIP3","Add 30KAF",247.6667,0.215329715298826,"3"
"KenoReach Mean Ann Fishing Days","5",2030,"CMIP5","Baseline",247.6667,-3.48589455102361,"2"
"KenoReach Mean Ann Fishing Days","5",2030,"CMIP5","Reduce ET 30%",247.6667,-3.91655398162126,"2"
"KenoReach Mean Ann Fishing Days","5",2030,"CMIP5","Reduce ET 50%",247.6667,-4.02423902769327,"2"
"KenoReach Mean Ann Fishing Days","5",2030,"CMIP5","Add 30KAF",247.6667,-4.89908413202098,"2"
"SalmonTrinityReach Mean Ann Fishing Days","1",2030,"CMIP3","Baseline",213.9333,-6.6687140337666,"2"
"SalmonTrinityReach Mean Ann Fishing Days","1",2030,"CMIP3","Reduce ET 30%",213.9333,-6.77781345868081,"2"
"SalmonTrinityReach Mean Ann Fishing Days","1",2030,"CMIP3","Reduce ET 50%",213.9333,-6.82455699977516,"2"
"SalmonTrinityReach Mean Ann Fishing Days","1",2030,"CMIP3","Add 30KAF",213.9333,-6.84012259895958,"2"
"SalmonTrinityReach Mean Ann Fishing Days","1",2030,"CMIP5","Baseline",213.9333,-3.53689678044512,"2"
"SalmonTrinityReach Mean Ann Fishing Days","1",2030,"CMIP5","Reduce ET 30%",213.9333,-3.53689678044512,"2"
"SalmonTrinityReach Mean Ann Fishing Days","1",2030,"CMIP5","Reduce ET 50%",213.9333,-3.53689678044512,"2"
"SalmonTrinityReach Mean Ann Fishing Days","1",2030,"CMIP5","Add 30KAF",213.9333,-3.78622682864238,"2"
"SalmonTrinityReach Mean Ann Fishing Days","2",2030,"CMIP3","Baseline",213.9333,8.42944973970859,"3"
"SalmonTrinityReach Mean Ann Fishing Days","2",2030,"CMIP3","Reduce ET 30%",213.9333,8.38270619861424,"3"
"SalmonTrinityReach Mean Ann Fishing Days","2",2030,"CMIP3","Reduce ET 50%",213.9333,8.33596265751988,"3"
"SalmonTrinityReach Mean Ann Fishing Days","2",2030,"CMIP3","Add 30KAF",213.9333,8.2580411745156,"3"
"SalmonTrinityReach Mean Ann Fishing Days","2",2030,"CMIP5","Baseline",213.9333,9.22408993831254,"3"
"SalmonTrinityReach Mean Ann Fishing Days","2",2030,"CMIP5","Reduce ET 30%",213.9333,9.19291199640261,"3"
"SalmonTrinityReach Mean Ann Fishing Days","2",2030,"CMIP5","Reduce ET 50%",213.9333,9.19291199640261,"3"
"SalmonTrinityReach Mean Ann Fishing Days","2",2030,"CMIP5","Add 30KAF",213.9333,9.20847759558703,"3"
"SalmonTrinityReach Mean Ann Fishing Days","3",2030,"CMIP3","Baseline",213.9333,-1.16858852735876,"2"
"SalmonTrinityReach Mean Ann Fishing Days","3",2030,"CMIP3","Reduce ET 30%",213.9333,-1.18415412654318,"2"
"SalmonTrinityReach Mean Ann Fishing Days","3",2030,"CMIP3","Reduce ET 50%",213.9333,-1.1062326435389,"2"
"SalmonTrinityReach Mean Ann Fishing Days","3",2030,"CMIP3","Add 30KAF",213.9333,-1.18415412654318,"2"
"SalmonTrinityReach Mean Ann Fishing Days","3",2030,"CMIP5","Baseline",213.9333,0.296073589291613,"3"
"SalmonTrinityReach Mean Ann Fishing Days","3",2030,"CMIP5","Reduce ET 30%",213.9333,0.233717705471752,"3"
"SalmonTrinityReach Mean Ann Fishing Days","3",2030,"CMIP5","Reduce ET 50%",213.9333,0.186974164377404,"3"
"SalmonTrinityReach Mean Ann Fishing Days","3",2030,"CMIP5","Add 30KAF",213.9333,0.31163918847603,"3"
"SalmonTrinityReach Mean Ann Fishing Days","4",2030,"CMIP3","Baseline",213.9333,14.085418212125,"4"
"SalmonTrinityReach Mean Ann Fishing Days","4",2030,"CMIP3","Reduce ET 30%",213.9333,14.225648835408,"4"
"SalmonTrinityReach Mean Ann Fishing Days","4",2030,"CMIP3","Reduce ET 50%",213.9333,14.2723923765024,"4"
