"measure","scenario","period","climset","value","value_hist"
"TrinityOceanReach Mean Ann Fishing Days","HD",2030,"CMIP5",273.9667,252.9333
"TrinityOceanReach Mean Ann Fishing Days","HW",2030,"CMIP3",241.0333,252.9333
"TrinityOceanReach Mean Ann Fishing Days","HW",2030,"CMIP5",241.6667,252.9333
"TrinityOceanReach Mean Ann Fishing Days","CT",2030,"CMIP3",254.6,252.9333
"TrinityOceanReach Mean Ann Fishing Days","CT",2030,"CMIP5",255.8,252.9333
"TrinityOceanReach Mean Ann Fishing Days","WD",2070,"CMIP3",272.4667,252.9333
"TrinityOceanReach Mean Ann Fishing Days","WD",2070,"CMIP5",265.7667,252.9333
"TrinityOceanReach Mean Ann Fishing Days","WW",2070,"CMIP3",235.2,252.9333
"TrinityOceanReach Mean Ann Fishing Days","WW",2070,"CMIP5",234.3,252.9333
"TrinityOceanReach Mean Ann Fishing Days","HD",2070,"CMIP3",281.5667,252.9333
"TrinityOceanReach Mean Ann Fishing Days","HD",2070,"CMIP5",279.5,252.9333
"TrinityOceanReach Mean Ann Fishing Days","HW",2070,"CMIP3",251.9,252.9333
"TrinityOceanReach Mean Ann Fishing Days","HW",2070,"CMIP5",246.7667,252.9333
"TrinityOceanReach Mean Ann Fishing Days","CT",2070,"CMIP3",252.7,252.9333
"TrinityOceanReach Mean Ann Fishing Days","CT",2070,"CMIP5",251.7333,252.9333
