"measure","scenario","period","climset","strategy","value","value_hist"
"Mean Annual UKL Stg and Inflow","HD",2070,"CMIP3","Baseline",1195.9243,1377.9978
"Mean Annual UKL Stg and Inflow","HD",2070,"CMIP3","Reduce ET 30%",1207.4062,1377.9978
"Mean Annual UKL Stg and Inflow","HD",2070,"CMIP3","Reduce ET 50%",1215.1082,1377.9978
"Mean Annual UKL Stg and Inflow","HD",2070,"CMIP5","Add 30KAF",1236.6646,1377.9978
"Mean Annual UKL Stg and Inflow","HD",2070,"CMIP5","Baseline",1214.6988,1377.9978
"Mean Annual UKL Stg and Inflow","HD",2070,"CMIP5","Reduce ET 30%",1225.6695,1377.9978
"Mean Annual UKL Stg and Inflow","HD",2070,"CMIP5","Reduce ET 50%",1233.1521,1377.9978
"Mean Annual UKL Stg and Inflow","HW",2070,"CMIP3","Add 30KAF",1493.4473,1377.9978
"Mean Annual UKL Stg and Inflow","HW",2070,"CMIP3","Baseline",1474.4483,1377.9978
"Mean Annual UKL Stg and Inflow","HW",2070,"CMIP3","Reduce ET 30%",1481.7982,1377.9978
"Mean Annual UKL Stg and Inflow","HW",2070,"CMIP3","Reduce ET 50%",1486.8628,1377.9978
"Mean Annual UKL Stg and Inflow","HW",2070,"CMIP5","Add 30KAF",1515.2555,1377.9978
"Mean Annual UKL Stg and Inflow","HW",2070,"CMIP5","Baseline",1495.9553,1377.9978
"Mean Annual UKL Stg and Inflow","HW",2070,"CMIP5","Reduce ET 30%",1504.2464,1377.9978
"Mean Annual UKL Stg and Inflow","HW",2070,"CMIP5","Reduce ET 50%",1509.6848,1377.9978
"Mean Annual UKL Stg and Inflow","CT",2070,"CMIP3","Add 30KAF",1417.8674,1377.9978
"Mean Annual UKL Stg and Inflow","CT",2070,"CMIP3","Baseline",1397.6768,1377.9978
"Mean Annual UKL Stg and Inflow","CT",2070,"CMIP3","Reduce ET 30%",1405.271,1377.9978
"Mean Annual UKL Stg and Inflow","CT",2070,"CMIP3","Reduce ET 50%",1410.5579,1377.9978
"Mean Annual UKL Stg and Inflow","CT",2070,"CMIP5","Add 30KAF",1400.7487,1377.9978
"Mean Annual UKL Stg and Inflow","CT",2070,"CMIP5","Baseline",1381.3562,1377.9978
"Mean Annual UKL Stg and Inflow","CT",2070,"CMIP5","Reduce ET 30%",1388.1674,1377.9978
"Mean Annual UKL Stg and Inflow","CT",2070,"CMIP5","Reduce ET 50%",1392.8515,1377.9978
"Mean Project Supply (Apr-Sep)","WD",2030,"CMIP3","Add 30KAF",361.5454,361.3104
"Mean Project Supply (Apr-Sep)","WD",2030,"CMIP3","Baseline",357.2308,361.3104
"Mean Project Supply (Apr-Sep)","WD",2030,"CMIP3","Reduce ET 30%",357.5844,361.3104
"Mean Project Supply (Apr-Sep)","WD",2030,"CMIP3","Reduce ET 50%",357.8751,361.3104
"Mean Project Supply (Apr-Sep)","WD",2030,"CMIP5","Add 30KAF",349.6558,361.3104
"Mean Project Supply (Apr-Sep)","WD",2030,"CMIP5","Baseline",344.349,361.3104
"Mean Project Supply (Apr-Sep)","WD",2030,"CMIP5","Reduce ET 30%",345.1977,361.3104
"Mean Project Supply (Apr-Sep)","WD",2030,"CMIP5","Reduce ET 50%",345.9287,361.3104
"Mean Project Supply (Apr-Sep)","WW",2030,"CMIP3","Add 30KAF",371.7721,361.3104
"Mean Project Supply (Apr-Sep)","WW",2030,"CMIP3","Baseline",369.2528,361.3104
"Mean Project Supply (Apr-Sep)","WW",2030,"CMIP3","Reduce ET 30%",369.6506,361.3104
"Mean Project Supply (Apr-Sep)","WW",2030,"CMIP3","Reduce ET 50%",369.9482,361.3104
"Mean Project Supply (Apr-Sep)","WW",2030,"CMIP5","Add 30KAF",374.0289,361.3104
"Mean Project Supply (Apr-Sep)","WW",2030,"CMIP5","Baseline",371.4376,361.3104
"Mean Project Supply (Apr-Sep)","WW",2030,"CMIP5","Reduce ET 30%",371.9107,361.3104
"Mean Project Supply (Apr-Sep)","WW",2030,"CMIP5","Reduce ET 50%",372.2228,361.3104
"Mean Project Supply (Apr-Sep)","HD",2030,"CMIP3","Add 30KAF",337.0918,361.3104
"Mean Project Supply (Apr-Sep)","HD",2030,"CMIP3","Baseline",330.0919,361.3104
"Mean Project Supply (Apr-Sep)","HD",2030,"CMIP3","Reduce ET 30%",331.8178,361.3104
"Mean Project Supply (Apr-Sep)","HD",2030,"CMIP3","Reduce ET 50%",333.5105,361.3104
"Mean Project Supply (Apr-Sep)","HD",2030,"CMIP5","Add 30KAF",345.5461,361.3104
"Mean Project Supply (Apr-Sep)","HD",2030,"CMIP5","Baseline",339.2009,361.3104
"Mean Project Supply (Apr-Sep)","HD",2030,"CMIP5","Reduce ET 30%",340.6088,361.3104
"Mean Project Supply (Apr-Sep)","HD",2030,"CMIP5","Reduce ET 50%",341.8316,361.3104
"Mean Project Supply (Apr-Sep)","HW",2030,"CMIP3","Add 30KAF",368.3456,361.3104
"Mean Project Supply (Apr-Sep)","HW",2030,"CMIP3","Baseline",365.0589,361.3104
"Mean Project Supply (Apr-Sep)","HW",2030,"CMIP3","Reduce ET 30%",365.8671,361.3104
"Mean Project Supply (Apr-Sep)","HW",2030,"CMIP3","Reduce ET 50%",366.4327,361.3104
"Mean Project Supply (Apr-Sep)","HW",2030,"CMIP5","Add 30KAF",372.5027,361.3104
"Mean Project Supply (Apr-Sep)","HW",2030,"CMIP5","Baseline",369.2656,361.3104
"Mean Project Supply (Apr-Sep)","HW",2030,"CMIP5","Reduce ET 30%",369.9975,361.3104
"Mean Project Supply (Apr-Sep)","HW",2030,"CMIP5","Reduce ET 50%",370.5856,361.3104
"Mean Project Supply (Apr-Sep)","CT",2030,"CMIP3","Add 30KAF",361.798,361.3104
"Mean Project Supply (Apr-Sep)","CT",2030,"CMIP3","Baseline",357.9902,361.3104
"Mean Project Supply (Apr-Sep)","CT",2030,"CMIP3","Reduce ET 30%",358.4929,361.3104
"Mean Project Supply (Apr-Sep)","CT",2030,"CMIP3","Reduce ET 50%",358.8836,361.3104
"Mean Project Supply (Apr-Sep)","CT",2030,"CMIP5","Add 30KAF",362.4209,361.3104
"Mean Project Supply (Apr-Sep)","CT",2030,"CMIP5","Baseline",359.0016,361.3104
"Mean Project Supply (Apr-Sep)","CT",2030,"CMIP5","Reduce ET 30%",359.6106,361.3104
"Mean Project Supply (Apr-Sep)","CT",2030,"CMIP5","Reduce ET 50%",360.1116,361.3104
"Mean Project Supply (Apr-Sep)","WD",2070,"CMIP3","Add 30KAF",346.5027,361.3104
"Mean Project Supply (Apr-Sep)","WD",2070,"CMIP3","Baseline",339.0871,361.3104
"Mean Project Supply (Apr-Sep)","WD",2070,"CMIP3","Reduce ET 30%",341.1105,361.3104
