"measure","value","units","category","scenario","climset","period","strategy","value_hist","magchange"
"Mean Annual Hydropower Generated (MW)",25923.4083,"MW","Hydropower","CT","CMIP3",2070,"Baseline",26741.1142,-817.705900000001
"Boyle Mean Spill Volume per Year",378.0733,"KAF","Hydropower","CT","CMIP3",2070,"Baseline",163.0602,215.0131
"Copco1 Mean Spill Volume per Year",419.0979,"KAF","Hydropower","CT","CMIP3",2070,"Baseline",186.3791,232.7188
"Iron Gate Mean Spill Volume per Year",754.2105,"KAF","Hydropower","CT","CMIP3",2070,"Baseline",533.8601,220.3504
"Boyle Mean Spill Days per Year",205.9667,"days","Hydropower","CT","CMIP3",2070,"Baseline",105.9,100.0667
"Copco1 Mean Spill Days per Year",54.4333,"days","Hydropower","CT","CMIP3",2070,"Baseline",42.8,11.6333
"Iron Gate Mean Spill Days per Year",141.2667,"days","Hydropower","CT","CMIP3",2070,"Baseline",170.3333,-29.0666
"Freq of UKL Flood Control Release",42.174,"Percent of Days","Flood Control","CT","CMIP3",2070,"Baseline",44.1179,-1.9439
"Mean Ann UKL Flood Control Release Volume",359.1891,"KAF","Flood Control","CT","CMIP3",2070,"Baseline",224.4786,134.7105
"KenoReach Mean Ann Fishing Days",233.6333,"days","Recreation Fishing","CT","CMIP3",2070,"Baseline",247.6667,-14.0334
"BoyleReach Mean Ann Fishing Days",152.7,"days","Recreation Fishing","CT","CMIP3",2070,"Baseline",154.9,-2.20000000000002
"HellsCornerReach Mean Ann Fishing Days",244.9,"days","Recreation Fishing","CT","CMIP3",2070,"Baseline",220.4333,24.4667
"IGScottReach Mean Ann Fishing Days",271.4,"days","Recreation Fishing","CT","CMIP3",2070,"Baseline",274.7333,-3.33330000000001
"ScottSalmonReach Mean Ann Fishing Days",192.8,"days","Recreation Fishing","CT","CMIP3",2070,"Baseline",183.9667,8.83330000000001
"SalmonTrinityReach Mean Ann Fishing Days",223.9,"days","Recreation Fishing","CT","CMIP3",2070,"Baseline",213.9333,9.9667
"TrinityOceanReach Mean Ann Fishing Days",252.7,"days","Recreation Fishing","CT","CMIP3",2070,"Baseline",252.9333,-0.233300000000014
"KenoReach Mean Ann Boating Days",174.2667,"days","Recreation Boating","CT","CMIP3",2070,"Baseline",171.8,2.46669999999997
"BoyleReach Mean Ann Boating Days",50.8,"days","Recreation Boating","CT","CMIP3",2070,"Baseline",59,-8.2
"HellsCornerReach Mean Ann Boating Days",176.9,"days","Recreation Boating","CT","CMIP3",2070,"Baseline",256,-79.1
"IGScottReach Mean Ann Boating Days",271.4,"days","Recreation Boating","CT","CMIP3",2070,"Baseline",274.7333,-3.33330000000001
"ScottSalmonReach Mean Ann Boating Days",243.6667,"days","Recreation Boating","CT","CMIP3",2070,"Baseline",249.2333,-5.56660000000002
"SalmonTrinityReach Mean Ann Boating Days",223.9,"days","Recreation Boating","CT","CMIP3",2070,"Baseline",213.9333,9.9667
"TrinityOceanReach Mean Ann Boating Days",252.7,"days","Recreation Boating","CT","CMIP3",2070,"Baseline",252.9333,-0.233300000000014
"Mean Project Supply (Apr-Sep)",360.073,"KAF","Water Delivery","CT","CMIP3",2070,"Baseline",361.3104,-1.23740000000004
"Mean Annual UKL Stg and Inflow",1397.6768,"KAF","Water Delivery","CT","CMIP3",2070,"Baseline",1377.9978,19.6789999999999
"Mean Annual Shasta Flow",196.5632,"cfs","Water Delivery","CT","CMIP3",2070,"Baseline",187.6871,8.87610000000001
"Mean Annual Scott Flow",755.673,"cfs","Water Delivery","CT","CMIP3",2070,"Baseline",668.7854,86.8876
"Mean Annual MWAT",81.1974,"degF","Water Quality","CT","CMIP3",2070,"Baseline",75.7443,5.45310000000001
"Mean exceedence of MWAT - Poor",17.5174,"degF","Water Quality","CT","CMIP3",2070,"Baseline",12.0643,5.4531
"Frequency Meeting Dry Year Fish Targets Scott",69.3894,"% of Days","Ecological Resources","CT","CMIP3",2070,"Add Flow
10%",70.5029,-1.1135
"Frequency Meeting Dry Year Fish Targets Shasta",56.6578,"% of Days","Ecological Resources","CT","CMIP3",2070,"Add Flow
10%",56.8769,-0.219099999999997
"Mean Percent of Annual Refuge Demand",13.0675,"% of Years","Ecological Resources","CT","CMIP3",2070,"Add Flow
10%",NA,NA
"Mean Annual Hydropower Generated (MW)",25923.4083,"MW","Hydropower","CT","CMIP3",2070,"Add Flow
10%",26741.1142,-817.705900000001
"Boyle Mean Spill Volume per year",378.0733,"KAF","Hydropower","CT","CMIP3",2070,"Add Flow
10%",NA,NA
"Copco1 Mean Spill Volume per year",419.0979,"KAF","Hydropower","CT","CMIP3",2070,"Add Flow
10%",NA,NA
"Iron Gate Mean Spill Volume per year",754.2105,"KAF","Hydropower","CT","CMIP3",2070,"Add Flow
10%",NA,NA
"Boyle Mean Spill Days per year",205.9667,"days","Hydropower","CT","CMIP3",2070,"Add Flow
10%",NA,NA
"Copco1 Mean Spill Days per year",54.4333,"days","Hydropower","CT","CMIP3",2070,"Add Flow
10%",NA,NA
