"measure","value","units","category","scenario","climset","period","strategy","value_hist","magchange"
"IGScottReach Mean Ann Fishing Days",271.4,"days","Recreation Fishing","CT","CMIP3",2070,"Baseline",274.7333,-3.33330000000001
"ScottSalmonReach Mean Ann Fishing Days",192.8,"days","Recreation Fishing","CT","CMIP3",2070,"Baseline",183.9667,8.83330000000001
"SalmonTrinityReach Mean Ann Fishing Days",223.9,"days","Recreation Fishing","CT","CMIP3",2070,"Baseline",213.9333,9.9667
"TrinityOceanReach Mean Ann Fishing Days",252.7,"days","Recreation Fishing","CT","CMIP3",2070,"Baseline",252.9333,-0.233300000000014
"KenoReach Mean Ann Boating Days",174.2667,"days","Recreation Boating","CT","CMIP3",2070,"Baseline",171.8,2.46669999999997
"BoyleReach Mean Ann Boating Days",50.8,"days","Recreation Boating","CT","CMIP3",2070,"Baseline",59,-8.2
"HellsCornerReach Mean Ann Boating Days",176.9,"days","Recreation Boating","CT","CMIP3",2070,"Baseline",256,-79.1
"IGScottReach Mean Ann Boating Days",271.4,"days","Recreation Boating","CT","CMIP3",2070,"Baseline",274.7333,-3.33330000000001
"ScottSalmonReach Mean Ann Boating Days",243.6667,"days","Recreation Boating","CT","CMIP3",2070,"Baseline",249.2333,-5.56660000000002
"SalmonTrinityReach Mean Ann Boating Days",223.9,"days","Recreation Boating","CT","CMIP3",2070,"Baseline",213.9333,9.9667
"TrinityOceanReach Mean Ann Boating Days",252.7,"days","Recreation Boating","CT","CMIP3",2070,"Baseline",252.9333,-0.233300000000014
"Mean Project Supply (Apr-Sep)",360.073,"KAF","Water Delivery","CT","CMIP3",2070,"Baseline",361.3104,-1.23740000000004
"Mean Annual UKL Stg and Inflow",1397.6768,"KAF","Water Delivery","CT","CMIP3",2070,"Baseline",1377.9978,19.6789999999999
"Mean Annual Shasta Flow",196.5632,"cfs","Water Delivery","CT","CMIP3",2070,"Baseline",187.6871,8.87610000000001
"Mean Annual Scott Flow",755.673,"cfs","Water Delivery","CT","CMIP3",2070,"Baseline",668.7854,86.8876
"Mean Annual MWAT",81.1974,"degF","Water Quality","CT","CMIP3",2070,"Baseline",75.7443,5.45310000000001
"Mean exceedence of MWAT - Poor",17.5174,"degF","Water Quality","CT","CMIP3",2070,"Baseline",12.0643,5.4531
"Frequency Meeting Dry Year Fish Targets Scott",68.7414,"% of Days","Ecological Resources","CT","CMIP3",2070,"Reduce ET 30%",70.5029,-1.7615
"Frequency Meeting Dry Year Fish Targets Shasta",56.4571,"% of Days","Ecological Resources","CT","CMIP3",2070,"Reduce ET 30%",56.8769,-0.419800000000002
"Mean Annual Water Delivery to LKNWR",14.199,"KAF","Ecological Resources","CT","CMIP3",2070,"Reduce ET 30%",24.6143,-10.4153
"Mean Annual Hydropower Generated (MW)",26068.8609,"MW","Hydropower","CT","CMIP3",2070,"Reduce ET 30%",26741.1142,-672.2533
"Boyle Mean Spill Volume per Year",380.5482,"KAF","Hydropower","CT","CMIP3",2070,"Reduce ET 30%",163.0602,217.488
"Copco1 Mean Spill Volume per Year",421.712,"KAF","Hydropower","CT","CMIP3",2070,"Reduce ET 30%",186.3791,235.3329
"Iron Gate Mean Spill Volume per Year",759.7491,"KAF","Hydropower","CT","CMIP3",2070,"Reduce ET 30%",533.8601,225.889
"Boyle Mean Spill Days per Year",206.5667,"days","Hydropower","CT","CMIP3",2070,"Reduce ET 30%",105.9,100.6667
"Copco1 Mean Spill Days per Year",55,"days","Hydropower","CT","CMIP3",2070,"Reduce ET 30%",42.8,12.2
"Iron Gate Mean Spill Days per Year",142.2,"days","Hydropower","CT","CMIP3",2070,"Reduce ET 30%",170.3333,-28.1333
"Freq of UKL Flood Control Release",42.1009,"Percent of Days","Flood Control","CT","CMIP3",2070,"Reduce ET 30%",44.1179,-2.017
"Mean Ann UKL Flood Control Release Volume",361.1132,"KAF","Flood Control","CT","CMIP3",2070,"Reduce ET 30%",224.4786,136.6346
"KenoReach Mean Ann Fishing Days",231.7667,"days","Recreation Fishing","CT","CMIP3",2070,"Reduce ET 30%",247.6667,-15.9
"BoyleReach Mean Ann Fishing Days",150.6667,"days","Recreation Fishing","CT","CMIP3",2070,"Reduce ET 30%",154.9,-4.23330000000001
