"measure","scenario","period","climset","strategy","value_hist","pctchange","colournm"
"Iron Gate Mean Spill Days per Year","5",2070,"CMIP3","Add 30KAF",170.3333,-16.2230755818152,"2"
"Iron Gate Mean Spill Days per Year","5",2070,"CMIP5","Baseline",170.3333,-20.5870490385615,"2"
"Iron Gate Mean Spill Days per Year","5",2070,"CMIP5","Reduce ET 30%",170.3333,-19.5302973640504,"2"
"Iron Gate Mean Spill Days per Year","5",2070,"CMIP5","Reduce ET 50%",170.3333,-19.2172053262633,"2"
"Iron Gate Mean Spill Days per Year","5",2070,"CMIP5","Add 30KAF",170.3333,-18.727988009391,"2"
"Iron Gate Mean Spill Volume per Year","1",2070,"CMIP3","Baseline",533.8601,71.0347898260237,"3"
"Iron Gate Mean Spill Volume per Year","1",2070,"CMIP3","Reduce ET 30%",533.8601,71.8596688533194,"3"
"Iron Gate Mean Spill Volume per Year","1",2070,"CMIP3","Reduce ET 50%",533.8601,72.518923965286,"3"
"Iron Gate Mean Spill Volume per Year","1",2070,"CMIP3","Add 30KAF",533.8601,74.9941604551455,"3"
"Iron Gate Mean Spill Volume per Year","1",2070,"CMIP5","Baseline",533.8601,46.8282046176517,"3"
"Iron Gate Mean Spill Volume per Year","1",2070,"CMIP5","Reduce ET 30%",533.8601,47.4112225281492,"3"
"Iron Gate Mean Spill Volume per Year","1",2070,"CMIP5","Reduce ET 50%",533.8601,47.8326999901285,"3"
"Iron Gate Mean Spill Volume per Year","1",2070,"CMIP5","Add 30KAF",533.8601,50.6859755954791,"3"
"Iron Gate Mean Spill Volume per Year","2",2070,"CMIP3","Baseline",533.8601,-5.16429304231576,"2"
"Iron Gate Mean Spill Volume per Year","2",2070,"CMIP3","Reduce ET 30%",533.8601,-4.61976836253543,"2"
"Iron Gate Mean Spill Volume per Year","2",2070,"CMIP3","Reduce ET 50%",533.8601,-4.1647240541108,"2"
"Iron Gate Mean Spill Volume per Year","2",2070,"CMIP3","Add 30KAF",533.8601,-2.09423779750537,"2"
"Iron Gate Mean Spill Volume per Year","2",2070,"CMIP5","Baseline",533.8601,-3.04527347145815,"2"
"Iron Gate Mean Spill Volume per Year","2",2070,"CMIP5","Reduce ET 30%",533.8601,-2.44691446317115,"2"
"Iron Gate Mean Spill Volume per Year","2",2070,"CMIP5","Reduce ET 50%",533.8601,-1.99994343087261,"2"
"Iron Gate Mean Spill Volume per Year","2",2070,"CMIP5","Add 30KAF",533.8601,0.354793325067743,"3"
"Iron Gate Mean Spill Volume per Year","3",2070,"CMIP3","Baseline",533.8601,74.0005106206664,"3"
"Iron Gate Mean Spill Volume per Year","3",2070,"CMIP3","Reduce ET 30%",533.8601,75.4530447208923,"3"
"Iron Gate Mean Spill Volume per Year","3",2070,"CMIP3","Reduce ET 50%",533.8601,76.4130527829295,"3"
"Iron Gate Mean Spill Volume per Year","3",2070,"CMIP3","Add 30KAF",533.8601,77.7527296008823,"3"
"Iron Gate Mean Spill Volume per Year","3",2070,"CMIP5","Baseline",533.8601,78.2856032882023,"3"
"Iron Gate Mean Spill Volume per Year","3",2070,"CMIP5","Reduce ET 30%",533.8601,80.0933802694751,"3"
"Iron Gate Mean Spill Volume per Year","3",2070,"CMIP5","Reduce ET 50%",533.8601,81.0836209711121,"3"
"Iron Gate Mean Spill Volume per Year","3",2070,"CMIP5","Add 30KAF",533.8601,82.0324837911655,"3"
"Iron Gate Mean Spill Volume per Year","4",2070,"CMIP3","Baseline",533.8601,-8.97038381403667,"2"
"Iron Gate Mean Spill Volume per Year","4",2070,"CMIP3","Reduce ET 30%",533.8601,-7.71258237879175,"2"
"Iron Gate Mean Spill Volume per Year","4",2070,"CMIP3","Reduce ET 50%",533.8601,-7.19596763271876,"2"
"Iron Gate Mean Spill Volume per Year","4",2070,"CMIP3","Add 30KAF",533.8601,-5.77707530493476,"2"
