"","scen","Accretion","Wyear","Flow"
"365","Historical","I1",1985,2073.24398893612
"366","Historical","I1",1986,2279.40647326747
"367","Historical","I1",1987,1565.38842712653
"368","Historical","I1",1988,1328.4349985743
"369","Historical","I1",1989,1866.70027728762
"370","Historical","I1",1990,1262.44116702522
"371","Historical","I1",1991,1035.64406352407
"372","Historical","I1",1992,818.283626806399
"373","Historical","I1",1993,1910.41296172878
"374","Historical","I1",1994,911.926130301011
"375","Historical","I1",1995,1674.52165295192
"376","Historical","I1",1996,2261.30329315211
"377","Historical","I1",1997,2353.26097841438
"378","Historical","I1",1998,2273.01677193007
"379","Historical","I1",1999,2442.01511787314
"380","Historical","I1",2000,1930.49213387496
"381","Historical","I1",2001,1130.75751663553
"382","Historical","I1",2002,1379.25418952937
"383","Historical","I1",2003,1337.14790860213
"384","Historical","I1",2004,1319.59568075971
"385","Historical","I1",2005,1211.94512260395
"386","Historical","I1",2006,2367.93684886616
"387","Historical","I1",2007,1492.0864253378
"388","Historical","I1",2008,1523.9620310182
"389","Historical","I1",2009,1373.69876826283
"390","Historical","I1",2010,1197.27615844415
"391","Historical","I1",2011,1892.77291076035
"392","Historical","I1",2012,1410.11293995132
"393","Historical","I1",2013,1221.73962588616
"394","Historical","I1",2014,1041.6622063531
"395","Historical","I1",2015,1135.94552316888
"396","Historical","I1",2016,1385.39949115724
"397","Historical","I1",2017,2091.175485426
"398","Historical","I1",2018,1205.43110801095
"399","Historical","I1",2019,1471.73358288068
"400","Historical","I1",2020,1038.96214810437
"401","Historical","I15",1981,383.427661771257
"402","Historical","I15",1982,731.775504072986
"403","Historical","I15",1983,682.204902776675
"404","Historical","I15",1984,639.446196145523
"405","Historical","I15",1985,484.591026654834
"406","Historical","I15",1986,516.547820892224
"407","Historical","I15",1987,367.452027169353
"408","Historical","I15",1988,348.294192112248
"409","Historical","I15",1989,448.716983607916
"410","Historical","I15",1990,398.664323131589
"411","Historical","I15",1991,358.611973438401
"412","Historical","I15",1992,296.166047487399
"413","Historical","I15",1993,473.99263098646
"414","Historical","I15",1994,300.141924300134
"415","Historical","I15",1995,490.310817670439
"416","Historical","I15",1996,661.66502057273
"417","Historical","I15",1997,708.219523396791
"418","Historical","I15",1998,484.182174169777
"419","Historical","I15",1999,614.394784368299
"420","Historical","I15",2000,479.755799553971
"421","Historical","I15",2001,367.358101598461
"422","Historical","I15",2002,449.897959536035
"423","Historical","I15",2003,473.248132711307
"424","Historical","I15",2004,477.360354068607
"425","Historical","I15",2005,436.575722311812
"426","Historical","I15",2006,782.594762958794
"427","Historical","I15",2007,515.293638269145
"428","Historical","I15",2008,544.507211819919
"429","Historical","I15",2009,439.439070965603
"430","Historical","I15",2010,349.773300965845
"431","Historical","I15",2011,576.393603392371
"432","Historical","I15",2012,395.106624185046
"433","Historical","I15",2013,399.893643103549
"434","Historical","I15",2014,360.732205075434
"435","Historical","I15",2015,383.080965913996
"436","Historical","I15",2016,512.593651725093
"437","Historical","I15",2017,742.038253951262
"438","Historical","I15",2018,375.602832960969
