"measure","value","units","category","scenario","climset","period","strategy"
"ScottSalmonReach Mean Ann Boating Days",249.2333,"days","Recreation Boating","HW","CMIP3",2070,"Historical"
"SalmonTrinityReach Mean Ann Boating Days",213.9333,"days","Recreation Boating","HW","CMIP3",2070,"Historical"
"TrinityOceanReach Mean Ann Boating Days",252.9333,"days","Recreation Boating","HW","CMIP3",2070,"Historical"
"Mean Project Supply (Apr-Sep)",361.3104,"KAF","Water Delivery","HW","CMIP3",2070,"Historical"
"Mean Annual UKL Stg and Inflow",1377.9978,"KAF","Water Delivery","HW","CMIP3",2070,"Historical"
"Mean Annual Shasta Flow",187.6871,"cfs","Water Delivery","HW","CMIP3",2070,"Historical"
"Mean Annual Scott Flow",668.7854,"cfs","Water Delivery","HW","CMIP3",2070,"Historical"
"Mean Annual MWAT",75.7443,"degF","Water Quality","HW","CMIP3",2070,"Historical"
"Mean exceedence of MWAT - Poor",12.0643,"degF","Water Quality","HW","CMIP3",2070,"Historical"
"Frequency Meeting Dry Year Fish Targets Scott",69.4077,"% of Days","Ecological Resources","HW","CMIP3",2070,"Baseline"
"Frequency Meeting Dry Year Fish Targets Shasta",58.0268,"% of Days","Ecological Resources","HW","CMIP3",2070,"Baseline"
"Mean Annual Water Delivery to LKNWR",14.6559,"KAF","Ecological Resources","HW","CMIP3",2070,"Baseline"
"Mean Annual Hydropower Generated (MW)",26511.3132,"MW","Hydropower","HW","CMIP3",2070,"Baseline"
"Boyle Mean Spill Volume per Year",544.1491,"KAF","Hydropower","HW","CMIP3",2070,"Baseline"
"Copco1 Mean Spill Volume per Year",566.2908,"KAF","Hydropower","HW","CMIP3",2070,"Baseline"
"Iron Gate Mean Spill Volume per Year",928.9193,"KAF","Hydropower","HW","CMIP3",2070,"Baseline"
"Boyle Mean Spill Days per Year",238.7,"days","Hydropower","HW","CMIP3",2070,"Baseline"
"Copco1 Mean Spill Days per Year",61.8333,"days","Hydropower","HW","CMIP3",2070,"Baseline"
"Iron Gate Mean Spill Days per Year",149.6,"days","Hydropower","HW","CMIP3",2070,"Baseline"
"Freq of UKL Flood Control Release",43.5612,"Percent of Days","Flood Control","HW","CMIP3",2070,"Baseline"
"Mean Ann UKL Flood Control Release Volume",447.8041,"KAF","Flood Control","HW","CMIP3",2070,"Baseline"
"KenoReach Mean Ann Fishing Days",213.6333,"days","Recreation Fishing","HW","CMIP3",2070,"Baseline"
"BoyleReach Mean Ann Fishing Days",138.4333,"days","Recreation Fishing","HW","CMIP3",2070,"Baseline"
"HellsCornerReach Mean Ann Fishing Days",233.8,"days","Recreation Fishing","HW","CMIP3",2070,"Baseline"
"IGScottReach Mean Ann Fishing Days",261.2333,"days","Recreation Fishing","HW","CMIP3",2070,"Baseline"
"ScottSalmonReach Mean Ann Fishing Days",194.8667,"days","Recreation Fishing","HW","CMIP3",2070,"Baseline"
"SalmonTrinityReach Mean Ann Fishing Days",221.6667,"days","Recreation Fishing","HW","CMIP3",2070,"Baseline"
"TrinityOceanReach Mean Ann Fishing Days",251.9,"days","Recreation Fishing","HW","CMIP3",2070,"Baseline"
"KenoReach Mean Ann Boating Days",183.2333,"days","Recreation Boating","HW","CMIP3",2070,"Baseline"
"BoyleReach Mean Ann Boating Days",53.6,"days","Recreation Boating","HW","CMIP3",2070,"Baseline"
"HellsCornerReach Mean Ann Boating Days",169,"days","Recreation Boating","HW","CMIP3",2070,"Baseline"
"IGScottReach Mean Ann Boating Days",261.2333,"days","Recreation Boating","HW","CMIP3",2070,"Baseline"
"ScottSalmonReach Mean Ann Boating Days",241.4333,"days","Recreation Boating","HW","CMIP3",2070,"Baseline"
"SalmonTrinityReach Mean Ann Boating Days",221.6667,"days","Recreation Boating","HW","CMIP3",2070,"Baseline"
"TrinityOceanReach Mean Ann Boating Days",251.9,"days","Recreation Boating","HW","CMIP3",2070,"Baseline"
"Mean Project Supply (Apr-Sep)",365.6945,"KAF","Water Delivery","HW","CMIP3",2070,"Baseline"
"Mean Annual UKL Stg and Inflow",1474.4483,"KAF","Water Delivery","HW","CMIP3",2070,"Baseline"
"Mean Annual Shasta Flow",208.8059,"cfs","Water Delivery","HW","CMIP3",2070,"Baseline"
"Mean Annual Scott Flow",823.2052,"cfs","Water Delivery","HW","CMIP3",2070,"Baseline"
"Mean Annual MWAT",82.2269,"degF","Water Quality","HW","CMIP3",2070,"Baseline"
"Mean exceedence of MWAT - Poor",18.5469,"degF","Water Quality","HW","CMIP3",2070,"Baseline"
"Frequency Meeting Dry Year Fish Targets Scott",68.5589,"% of Days","Ecological Resources","HW","CMIP3",2070,"Reduce
ET 30%"
"Frequency Meeting Dry Year Fish Targets Shasta",57.4245,"% of Days","Ecological Resources","HW","CMIP3",2070,"Reduce
ET 30%"
"Mean Annual Water Delivery to LKNWR",16.7141,"KAF","Ecological Resources","HW","CMIP3",2070,"Reduce
ET 30%"
"Mean Annual Hydropower Generated (MW)",26739.8716,"MW","Hydropower","HW","CMIP3",2070,"Reduce
ET 30%"
"Boyle Mean Spill Volume per Year",546.967,"KAF","Hydropower","HW","CMIP3",2070,"Reduce
ET 30%"
"Copco1 Mean Spill Volume per Year",569.2722,"KAF","Hydropower","HW","CMIP3",2070,"Reduce
ET 30%"
"Iron Gate Mean Spill Volume per Year",936.6738,"KAF","Hydropower","HW","CMIP3",2070,"Reduce
ET 30%"
"Boyle Mean Spill Days per Year",239.3333,"days","Hydropower","HW","CMIP3",2070,"Reduce
ET 30%"
"Copco1 Mean Spill Days per Year",62.7,"days","Hydropower","HW","CMIP3",2070,"Reduce
ET 30%"
"Iron Gate Mean Spill Days per Year",151.5333,"days","Hydropower","HW","CMIP3",2070,"Reduce
ET 30%"
"Freq of UKL Flood Control Release",42.9497,"Percent of Days","Flood Control","HW","CMIP3",2070,"Reduce
ET 30%"
"Mean Ann UKL Flood Control Release Volume",451.7019,"KAF","Flood Control","HW","CMIP3",2070,"Reduce
ET 30%"
"KenoReach Mean Ann Fishing Days",211.3333,"days","Recreation Fishing","HW","CMIP3",2070,"Reduce
ET 30%"
"BoyleReach Mean Ann Fishing Days",135.8333,"days","Recreation Fishing","HW","CMIP3",2070,"Reduce
ET 30%"
"HellsCornerReach Mean Ann Fishing Days",231.7667,"days","Recreation Fishing","HW","CMIP3",2070,"Reduce
ET 30%"
"IGScottReach Mean Ann Fishing Days",262.1,"days","Recreation Fishing","HW","CMIP3",2070,"Reduce
ET 30%"
"ScottSalmonReach Mean Ann Fishing Days",194.9667,"days","Recreation Fishing","HW","CMIP3",2070,"Reduce
ET 30%"
"SalmonTrinityReach Mean Ann Fishing Days",221.9667,"days","Recreation Fishing","HW","CMIP3",2070,"Reduce
ET 30%"
"TrinityOceanReach Mean Ann Fishing Days",251.6,"days","Recreation Fishing","HW","CMIP3",2070,"Reduce
ET 30%"
"KenoReach Mean Ann Boating Days",184.3333,"days","Recreation Boating","HW","CMIP3",2070,"Reduce
ET 30%"
"BoyleReach Mean Ann Boating Days",54.2,"days","Recreation Boating","HW","CMIP3",2070,"Reduce
ET 30%"
"HellsCornerReach Mean Ann Boating Days",170.1,"days","Recreation Boating","HW","CMIP3",2070,"Reduce
ET 30%"
"IGScottReach Mean Ann Boating Days",262.1,"days","Recreation Boating","HW","CMIP3",2070,"Reduce
ET 30%"
"ScottSalmonReach Mean Ann Boating Days",241.3667,"days","Recreation Boating","HW","CMIP3",2070,"Reduce
ET 30%"
"SalmonTrinityReach Mean Ann Boating Days",221.9667,"days","Recreation Boating","HW","CMIP3",2070,"Reduce
ET 30%"
"TrinityOceanReach Mean Ann Boating Days",251.6,"days","Recreation Boating","HW","CMIP3",2070,"Reduce
ET 30%"
"Mean Project Supply (Apr-Sep)",366.4002,"KAF","Water Delivery","HW","CMIP3",2070,"Reduce
ET 30%"
"Mean Annual UKL Stg and Inflow",1481.7982,"KAF","Water Delivery","HW","CMIP3",2070,"Reduce
ET 30%"
"Mean Annual Shasta Flow",209.6221,"cfs","Water Delivery","HW","CMIP3",2070,"Reduce
ET 30%"
"Mean Annual Scott Flow",825.1143,"cfs","Water Delivery","HW","CMIP3",2070,"Reduce
ET 30%"
"Mean Annual MWAT",82.2269,"degF","Water Quality","HW","CMIP3",2070,"Reduce
ET 30%"
"Mean exceedence of MWAT - Poor",18.5469,"degF","Water Quality","HW","CMIP3",2070,"Reduce
ET 30%"
"Frequency Meeting Dry Year Fish Targets Scott",67.6189,"% of Days","Ecological Resources","HW","CMIP3",2070,"Reduce
ET 50%"
"Frequency Meeting Dry Year Fish Targets Shasta",56.0737,"% of Days","Ecological Resources","HW","CMIP3",2070,"Reduce
ET 50%"
"Mean Annual Water Delivery to LKNWR",17.6838,"KAF","Ecological Resources","HW","CMIP3",2070,"Reduce
ET 50%"
"Mean Annual Hydropower Generated (MW)",26868.4624,"MW","Hydropower","HW","CMIP3",2070,"Reduce
ET 50%"
"Boyle Mean Spill Volume per Year",549.5237,"KAF","Hydropower","HW","CMIP3",2070,"Reduce
ET 50%"
"Copco1 Mean Spill Volume per Year",572.1865,"KAF","Hydropower","HW","CMIP3",2070,"Reduce
ET 50%"
"Iron Gate Mean Spill Volume per Year",941.7989,"KAF","Hydropower","HW","CMIP3",2070,"Reduce
ET 50%"
"Boyle Mean Spill Days per Year",239.6667,"days","Hydropower","HW","CMIP3",2070,"Reduce
ET 50%"
"Copco1 Mean Spill Days per Year",63.1333,"days","Hydropower","HW","CMIP3",2070,"Reduce
ET 50%"
"Iron Gate Mean Spill Days per Year",151.8667,"days","Hydropower","HW","CMIP3",2070,"Reduce
ET 50%"
"Freq of UKL Flood Control Release",43.2691,"Percent of Days","Flood Control","HW","CMIP3",2070,"Reduce
ET 50%"
"Mean Ann UKL Flood Control Release Volume",454.7092,"KAF","Flood Control","HW","CMIP3",2070,"Reduce
ET 50%"
"KenoReach Mean Ann Fishing Days",210.1667,"days","Recreation Fishing","HW","CMIP3",2070,"Reduce
ET 50%"
"BoyleReach Mean Ann Fishing Days",134.5,"days","Recreation Fishing","HW","CMIP3",2070,"Reduce
ET 50%"
"HellsCornerReach Mean Ann Fishing Days",230.2667,"days","Recreation Fishing","HW","CMIP3",2070,"Reduce
ET 50%"
"IGScottReach Mean Ann Fishing Days",262.2667,"days","Recreation Fishing","HW","CMIP3",2070,"Reduce
ET 50%"
"ScottSalmonReach Mean Ann Fishing Days",194.7333,"days","Recreation Fishing","HW","CMIP3",2070,"Reduce
ET 50%"
"SalmonTrinityReach Mean Ann Fishing Days",221.9333,"days","Recreation Fishing","HW","CMIP3",2070,"Reduce
ET 50%"
"TrinityOceanReach Mean Ann Fishing Days",251.4,"days","Recreation Fishing","HW","CMIP3",2070,"Reduce
ET 50%"
"KenoReach Mean Ann Boating Days",184.8333,"days","Recreation Boating","HW","CMIP3",2070,"Reduce
ET 50%"
"BoyleReach Mean Ann Boating Days",54.4667,"days","Recreation Boating","HW","CMIP3",2070,"Reduce
ET 50%"
"HellsCornerReach Mean Ann Boating Days",171.2,"days","Recreation Boating","HW","CMIP3",2070,"Reduce
ET 50%"
"IGScottReach Mean Ann Boating Days",262.2667,"days","Recreation Boating","HW","CMIP3",2070,"Reduce
ET 50%"
"ScottSalmonReach Mean Ann Boating Days",241.2,"days","Recreation Boating","HW","CMIP3",2070,"Reduce
ET 50%"
"SalmonTrinityReach Mean Ann Boating Days",221.9333,"days","Recreation Boating","HW","CMIP3",2070,"Reduce
ET 50%"
"TrinityOceanReach Mean Ann Boating Days",251.4,"days","Recreation Boating","HW","CMIP3",2070,"Reduce
ET 50%"
"Mean Project Supply (Apr-Sep)",366.955,"KAF","Water Delivery","HW","CMIP3",2070,"Reduce
ET 50%"
"Mean Annual UKL Stg and Inflow",1486.8628,"KAF","Water Delivery","HW","CMIP3",2070,"Reduce
ET 50%"
"Mean Annual Shasta Flow",210.436,"cfs","Water Delivery","HW","CMIP3",2070,"Reduce
ET 50%"
"Mean Annual Scott Flow",826.6372,"cfs","Water Delivery","HW","CMIP3",2070,"Reduce
ET 50%"
"Mean Annual MWAT",82.25,"degF","Water Quality","HW","CMIP3",2070,"Reduce
ET 50%"
"Mean exceedence of MWAT - Poor",18.57,"degF","Water Quality","HW","CMIP3",2070,"Reduce
ET 50%"
"Frequency Meeting Dry Year Fish Targets Scott",69.4077,"% of Days","Ecological Resources","HW","CMIP3",2070,"Add
30KAF"
"Frequency Meeting Dry Year Fish Targets Shasta",58.0268,"% of Days","Ecological Resources","HW","CMIP3",2070,"Add
30KAF"
"Mean Annual Water Delivery to LKNWR",15.1868,"KAF","Ecological Resources","HW","CMIP3",2070,"Add
30KAF"
"Mean Annual Hydropower Generated (MW)",26848.6051,"MW","Hydropower","HW","CMIP3",2070,"Add
30KAF"
"Boyle Mean Spill Volume per Year",555.771,"KAF","Hydropower","HW","CMIP3",2070,"Add
30KAF"
"Copco1 Mean Spill Volume per Year",579.4563,"KAF","Hydropower","HW","CMIP3",2070,"Add
30KAF"
"Iron Gate Mean Spill Volume per Year",948.9509,"KAF","Hydropower","HW","CMIP3",2070,"Add
30KAF"
"Boyle Mean Spill Days per Year",239.8667,"days","Hydropower","HW","CMIP3",2070,"Add
30KAF"
"Copco1 Mean Spill Days per Year",63.5,"days","Hydropower","HW","CMIP3",2070,"Add
30KAF"
"Iron Gate Mean Spill Days per Year",152.3667,"days","Hydropower","HW","CMIP3",2070,"Add
30KAF"
"Freq of UKL Flood Control Release",44.3004,"Percent of Days","Flood Control","HW","CMIP3",2070,"Add
30KAF"
"Mean Ann UKL Flood Control Release Volume",460.4339,"KAF","Flood Control","HW","CMIP3",2070,"Add
30KAF"
"KenoReach Mean Ann Fishing Days",210.2,"days","Recreation Fishing","HW","CMIP3",2070,"Add
30KAF"
"BoyleReach Mean Ann Fishing Days",134.6333,"days","Recreation Fishing","HW","CMIP3",2070,"Add
30KAF"
"HellsCornerReach Mean Ann Fishing Days",230.5667,"days","Recreation Fishing","HW","CMIP3",2070,"Add
30KAF"
"IGScottReach Mean Ann Fishing Days",262.0667,"days","Recreation Fishing","HW","CMIP3",2070,"Add
30KAF"
"ScottSalmonReach Mean Ann Fishing Days",194.6667,"days","Recreation Fishing","HW","CMIP3",2070,"Add
30KAF"
"SalmonTrinityReach Mean Ann Fishing Days",221.7,"days","Recreation Fishing","HW","CMIP3",2070,"Add
30KAF"
"TrinityOceanReach Mean Ann Fishing Days",251.5667,"days","Recreation Fishing","HW","CMIP3",2070,"Add
30KAF"
"KenoReach Mean Ann Boating Days",184.7667,"days","Recreation Boating","HW","CMIP3",2070,"Add
30KAF"
"BoyleReach Mean Ann Boating Days",54.2,"days","Recreation Boating","HW","CMIP3",2070,"Add
30KAF"
"HellsCornerReach Mean Ann Boating Days",171.1667,"days","Recreation Boating","HW","CMIP3",2070,"Add
30KAF"
"IGScottReach Mean Ann Boating Days",262.0667,"days","Recreation Boating","HW","CMIP3",2070,"Add
30KAF"
"ScottSalmonReach Mean Ann Boating Days",241,"days","Recreation Boating","HW","CMIP3",2070,"Add
30KAF"
"SalmonTrinityReach Mean Ann Boating Days",221.7,"days","Recreation Boating","HW","CMIP3",2070,"Add
30KAF"
"TrinityOceanReach Mean Ann Boating Days",251.5667,"days","Recreation Boating","HW","CMIP3",2070,"Add
30KAF"
"Mean Project Supply (Apr-Sep)",368.4573,"KAF","Water Delivery","HW","CMIP3",2070,"Add
30KAF"
"Mean Annual UKL Stg and Inflow",1493.4473,"KAF","Water Delivery","HW","CMIP3",2070,"Add
30KAF"
"Mean Annual Shasta Flow",208.8059,"cfs","Water Delivery","HW","CMIP3",2070,"Add
30KAF"
"Mean Annual Scott Flow",823.2052,"cfs","Water Delivery","HW","CMIP3",2070,"Add
30KAF"
"Mean Annual MWAT",82.2534,"degF","Water Quality","HW","CMIP3",2070,"Add
30KAF"
"Mean exceedence of MWAT - Poor",18.5734,"degF","Water Quality","HW","CMIP3",2070,"Add
30KAF"
"Frequency Meeting Dry Year Fish Targets Scott",70.5029,"% of Days","Ecological Resources","HW","CMIP5",2030,"Historical"
"Frequency Meeting Dry Year Fish Targets Shasta",56.8769,"% of Days","Ecological Resources","HW","CMIP5",2030,"Historical"
"Mean Annual Water Delivery to LKNWR",24.6143,"KAF","Ecological Resources","HW","CMIP5",2030,"Historical"
"Mean Annual Hydropower Generated (MW)",26741.1142,"MW","Hydropower","HW","CMIP5",2030,"Historical"
"Boyle Mean Spill Volume per Year",163.0602,"KAF","Hydropower","HW","CMIP5",2030,"Historical"
"Copco1 Mean Spill Volume per Year",186.3791,"KAF","Hydropower","HW","CMIP5",2030,"Historical"
"Iron Gate Mean Spill Volume per Year",533.8601,"KAF","Hydropower","HW","CMIP5",2030,"Historical"
"Boyle Mean Spill Days per Year",105.9,"days","Hydropower","HW","CMIP5",2030,"Historical"
"Copco1 Mean Spill Days per Year",42.8,"days","Hydropower","HW","CMIP5",2030,"Historical"
"Iron Gate Mean Spill Days per Year",170.3333,"days","Hydropower","HW","CMIP5",2030,"Historical"
"Freq of UKL Flood Control Release",44.1179,"Percent of Days","Flood Control","HW","CMIP5",2030,"Historical"
"Mean Ann UKL Flood Control Release Volume",224.4786,"KAF","Flood Control","HW","CMIP5",2030,"Historical"
"KenoReach Mean Ann Fishing Days",247.6667,"days","Recreation Fishing","HW","CMIP5",2030,"Historical"
"BoyleReach Mean Ann Fishing Days",154.9,"days","Recreation Fishing","HW","CMIP5",2030,"Historical"
"HellsCornerReach Mean Ann Fishing Days",220.4333,"days","Recreation Fishing","HW","CMIP5",2030,"Historical"
"IGScottReach Mean Ann Fishing Days",274.7333,"days","Recreation Fishing","HW","CMIP5",2030,"Historical"
"ScottSalmonReach Mean Ann Fishing Days",183.9667,"days","Recreation Fishing","HW","CMIP5",2030,"Historical"
"SalmonTrinityReach Mean Ann Fishing Days",213.9333,"days","Recreation Fishing","HW","CMIP5",2030,"Historical"
"TrinityOceanReach Mean Ann Fishing Days",252.9333,"days","Recreation Fishing","HW","CMIP5",2030,"Historical"
"KenoReach Mean Ann Boating Days",171.8,"days","Recreation Boating","HW","CMIP5",2030,"Historical"
"BoyleReach Mean Ann Boating Days",59,"days","Recreation Boating","HW","CMIP5",2030,"Historical"
"HellsCornerReach Mean Ann Boating Days",256,"days","Recreation Boating","HW","CMIP5",2030,"Historical"
"IGScottReach Mean Ann Boating Days",274.7333,"days","Recreation Boating","HW","CMIP5",2030,"Historical"
"ScottSalmonReach Mean Ann Boating Days",249.2333,"days","Recreation Boating","HW","CMIP5",2030,"Historical"
"SalmonTrinityReach Mean Ann Boating Days",213.9333,"days","Recreation Boating","HW","CMIP5",2030,"Historical"
"TrinityOceanReach Mean Ann Boating Days",252.9333,"days","Recreation Boating","HW","CMIP5",2030,"Historical"
"Mean Project Supply (Apr-Sep)",361.3104,"KAF","Water Delivery","HW","CMIP5",2030,"Historical"
"Mean Annual UKL Stg and Inflow",1377.9978,"KAF","Water Delivery","HW","CMIP5",2030,"Historical"
"Mean Annual Shasta Flow",187.6871,"cfs","Water Delivery","HW","CMIP5",2030,"Historical"
"Mean Annual Scott Flow",668.7854,"cfs","Water Delivery","HW","CMIP5",2030,"Historical"
"Mean Annual MWAT",75.7443,"degF","Water Quality","HW","CMIP5",2030,"Historical"
"Mean exceedence of MWAT - Poor",12.0643,"degF","Water Quality","HW","CMIP5",2030,"Historical"
"Frequency Meeting Dry Year Fish Targets Scott",70.8406,"% of Days","Ecological Resources","HW","CMIP5",2030,"Baseline"
"Frequency Meeting Dry Year Fish Targets Shasta",59.9708,"% of Days","Ecological Resources","HW","CMIP5",2030,"Baseline"
"Mean Annual Water Delivery to LKNWR",13.3284,"KAF","Ecological Resources","HW","CMIP5",2030,"Baseline"
"Mean Annual Hydropower Generated (MW)",26524.9381,"MW","Hydropower","HW","CMIP5",2030,"Baseline"
"Boyle Mean Spill Volume per Year",393.6513,"KAF","Hydropower","HW","CMIP5",2030,"Baseline"
"Copco1 Mean Spill Volume per Year",428.1692,"KAF","Hydropower","HW","CMIP5",2030,"Baseline"
"Iron Gate Mean Spill Volume per Year",781.547,"KAF","Hydropower","HW","CMIP5",2030,"Baseline"
"Boyle Mean Spill Days per Year",222.6333,"days","Hydropower","HW","CMIP5",2030,"Baseline"
"Copco1 Mean Spill Days per Year",57.2667,"days","Hydropower","HW","CMIP5",2030,"Baseline"
"Iron Gate Mean Spill Days per Year",141.7333,"days","Hydropower","HW","CMIP5",2030,"Baseline"
"Freq of UKL Flood Control Release",44.1179,"Percent of Days","Flood Control","HW","CMIP5",2030,"Baseline"
"Mean Ann UKL Flood Control Release Volume",366.1015,"KAF","Flood Control","HW","CMIP5",2030,"Baseline"
"KenoReach Mean Ann Fishing Days",226.8333,"days","Recreation Fishing","HW","CMIP5",2030,"Baseline"
"BoyleReach Mean Ann Fishing Days",143.5333,"days","Recreation Fishing","HW","CMIP5",2030,"Baseline"
"HellsCornerReach Mean Ann Fishing Days",243.9,"days","Recreation Fishing","HW","CMIP5",2030,"Baseline"
"IGScottReach Mean Ann Fishing Days",270.2,"days","Recreation Fishing","HW","CMIP5",2030,"Baseline"
"ScottSalmonReach Mean Ann Fishing Days",185.2333,"days","Recreation Fishing","HW","CMIP5",2030,"Baseline"
"SalmonTrinityReach Mean Ann Fishing Days",214.5667,"days","Recreation Fishing","HW","CMIP5",2030,"Baseline"
"TrinityOceanReach Mean Ann Fishing Days",241.6667,"days","Recreation Fishing","HW","CMIP5",2030,"Baseline"
"KenoReach Mean Ann Boating Days",188.7667,"days","Recreation Boating","HW","CMIP5",2030,"Baseline"
"BoyleReach Mean Ann Boating Days",52.9,"days","Recreation Boating","HW","CMIP5",2030,"Baseline"
"HellsCornerReach Mean Ann Boating Days",181.1,"days","Recreation Boating","HW","CMIP5",2030,"Baseline"
"IGScottReach Mean Ann Boating Days",270.2,"days","Recreation Boating","HW","CMIP5",2030,"Baseline"
"ScottSalmonReach Mean Ann Boating Days",237.3333,"days","Recreation Boating","HW","CMIP5",2030,"Baseline"
"SalmonTrinityReach Mean Ann Boating Days",214.5667,"days","Recreation Boating","HW","CMIP5",2030,"Baseline"
"TrinityOceanReach Mean Ann Boating Days",241.6667,"days","Recreation Boating","HW","CMIP5",2030,"Baseline"
"Mean Project Supply (Apr-Sep)",369.2656,"KAF","Water Delivery","HW","CMIP5",2030,"Baseline"
"Mean Annual UKL Stg and Inflow",1461.5291,"KAF","Water Delivery","HW","CMIP5",2030,"Baseline"
"Mean Annual Shasta Flow",209.9437,"cfs","Water Delivery","HW","CMIP5",2030,"Baseline"
"Mean Annual Scott Flow",806.3598,"cfs","Water Delivery","HW","CMIP5",2030,"Baseline"
"Mean Annual MWAT",80.5229,"degF","Water Quality","HW","CMIP5",2030,"Baseline"
"Mean exceedence of MWAT - Poor",16.8429,"degF","Water Quality","HW","CMIP5",2030,"Baseline"
"Frequency Meeting Dry Year Fish Targets Scott",70.4572,"% of Days","Ecological Resources","HW","CMIP5",2030,"Reduce
ET 30%"
"Frequency Meeting Dry Year Fish Targets Shasta",59.0581,"% of Days","Ecological Resources","HW","CMIP5",2030,"Reduce
ET 30%"
"Mean Annual Water Delivery to LKNWR",14.6239,"KAF","Ecological Resources","HW","CMIP5",2030,"Reduce
ET 30%"
"Mean Annual Hydropower Generated (MW)",26638.2451,"MW","Hydropower","HW","CMIP5",2030,"Reduce
ET 30%"
"Boyle Mean Spill Volume per Year",395.6587,"KAF","Hydropower","HW","CMIP5",2030,"Reduce
ET 30%"
"Copco1 Mean Spill Volume per Year",430.1266,"KAF","Hydropower","HW","CMIP5",2030,"Reduce
ET 30%"
"Iron Gate Mean Spill Volume per Year",785.6318,"KAF","Hydropower","HW","CMIP5",2030,"Reduce
ET 30%"
"Boyle Mean Spill Days per Year",222.8333,"days","Hydropower","HW","CMIP5",2030,"Reduce
ET 30%"
"Copco1 Mean Spill Days per Year",57.7333,"days","Hydropower","HW","CMIP5",2030,"Reduce
ET 30%"
"Iron Gate Mean Spill Days per Year",142.5667,"days","Hydropower","HW","CMIP5",2030,"Reduce
ET 30%"
"Freq of UKL Flood Control Release",43.9445,"Percent of Days","Flood Control","HW","CMIP5",2030,"Reduce
ET 30%"
"Mean Ann UKL Flood Control Release Volume",367.6934,"KAF","Flood Control","HW","CMIP5",2030,"Reduce
ET 30%"
"KenoReach Mean Ann Fishing Days",225.6,"days","Recreation Fishing","HW","CMIP5",2030,"Reduce
ET 30%"
"BoyleReach Mean Ann Fishing Days",141.9,"days","Recreation Fishing","HW","CMIP5",2030,"Reduce
ET 30%"
"HellsCornerReach Mean Ann Fishing Days",243.1333,"days","Recreation Fishing","HW","CMIP5",2030,"Reduce
ET 30%"
"IGScottReach Mean Ann Fishing Days",270.3667,"days","Recreation Fishing","HW","CMIP5",2030,"Reduce
ET 30%"
"ScottSalmonReach Mean Ann Fishing Days",184.9667,"days","Recreation Fishing","HW","CMIP5",2030,"Reduce
ET 30%"
"SalmonTrinityReach Mean Ann Fishing Days",214.4333,"days","Recreation Fishing","HW","CMIP5",2030,"Reduce
ET 30%"
"TrinityOceanReach Mean Ann Fishing Days",241.5667,"days","Recreation Fishing","HW","CMIP5",2030,"Reduce
ET 30%"
"KenoReach Mean Ann Boating Days",189.1333,"days","Recreation Boating","HW","CMIP5",2030,"Reduce
ET 30%"
"BoyleReach Mean Ann Boating Days",53.7,"days","Recreation Boating","HW","CMIP5",2030,"Reduce
ET 30%"
"HellsCornerReach Mean Ann Boating Days",182.4333,"days","Recreation Boating","HW","CMIP5",2030,"Reduce
ET 30%"
"IGScottReach Mean Ann Boating Days",270.3667,"days","Recreation Boating","HW","CMIP5",2030,"Reduce
ET 30%"
"ScottSalmonReach Mean Ann Boating Days",236.9333,"days","Recreation Boating","HW","CMIP5",2030,"Reduce
ET 30%"
"SalmonTrinityReach Mean Ann Boating Days",214.4333,"days","Recreation Boating","HW","CMIP5",2030,"Reduce
ET 30%"
"TrinityOceanReach Mean Ann Boating Days",241.5667,"days","Recreation Boating","HW","CMIP5",2030,"Reduce
ET 30%"
"Mean Project Supply (Apr-Sep)",369.9975,"KAF","Water Delivery","HW","CMIP5",2030,"Reduce
ET 30%"
"Mean Annual UKL Stg and Inflow",1467.6966,"KAF","Water Delivery","HW","CMIP5",2030,"Reduce
ET 30%"
"Mean Annual Shasta Flow",210.7404,"cfs","Water Delivery","HW","CMIP5",2030,"Reduce
ET 30%"
"Mean Annual Scott Flow",808.0506,"cfs","Water Delivery","HW","CMIP5",2030,"Reduce
ET 30%"
"Mean Annual MWAT",80.5229,"degF","Water Quality","HW","CMIP5",2030,"Reduce
ET 30%"
"Mean exceedence of MWAT - Poor",16.8429,"degF","Water Quality","HW","CMIP5",2030,"Reduce
ET 30%"
"Frequency Meeting Dry Year Fish Targets Scott",69.7545,"% of Days","Ecological Resources","HW","CMIP5",2030,"Reduce
ET 50%"
"Frequency Meeting Dry Year Fish Targets Shasta",57.8899,"% of Days","Ecological Resources","HW","CMIP5",2030,"Reduce
ET 50%"
"Mean Annual Water Delivery to LKNWR",15.9107,"KAF","Ecological Resources","HW","CMIP5",2030,"Reduce
ET 50%"
"Mean Annual Hydropower Generated (MW)",26720.2567,"MW","Hydropower","HW","CMIP5",2030,"Reduce
ET 50%"
"Boyle Mean Spill Volume per Year",396.9052,"KAF","Hydropower","HW","CMIP5",2030,"Reduce
ET 50%"
"Copco1 Mean Spill Volume per Year",431.5402,"KAF","Hydropower","HW","CMIP5",2030,"Reduce
ET 50%"
"Iron Gate Mean Spill Volume per Year",788.6034,"KAF","Hydropower","HW","CMIP5",2030,"Reduce
ET 50%"
"Boyle Mean Spill Days per Year",222.9333,"days","Hydropower","HW","CMIP5",2030,"Reduce
ET 50%"
"Copco1 Mean Spill Days per Year",57.9333,"days","Hydropower","HW","CMIP5",2030,"Reduce
ET 50%"
